time	start	interval_start	messages	last_messages	bytes	last_bytes	mps	bps
1381408815	1381408798	1381408815	4	4	11000	11000	0.4	1100
1381408825	1381408798	1381408825	5	5	16653	16653	0.1	565.3
1381408835	1381408798	1381408835	11	11	33672	33672	0.6	1701.9
1381408846	1381408798	1381408846	12	12	36902	36902	0.1	323
1381408950	1381408940	1381408950	3	3	10765	10765	0.3	1076.5
1381408960	1381408940	1381408960	8	8	26037	26037	0.5	1527.2
1381408986	1381408974	1381408986	2	2	6835	6835	0.2	683.5
1381408996	1381408974	1381408996	5	5	15545	15545	0.3	871
1381409021	1381409008	1381409021	3	3	6742	6742	0.3	674.2
1381409038	1381409008	1381409038	5	5	14824	14824	0.2	808.2
1381409095	1381409085	1381409095	43	43	170605	170605	4.3	17060.5
